--disable-avs,--disable-swscale,--disable-lavf,--disable-ffms,--disable-gpac,--disable-lsmash,--enable-lto,--enable-debug,--enable-gprof,--enable-strip,--enable-pic,--disable-asm,--enable-shared,--enable-static,--enable-bashcompletion,--disable-cli,--disable-bashcompletion,--disable-opencl,--disable-gpl,--disable-thread,--disable-win32thread,--disable-interlaced,--system-libx264,--bit-depth=8,--bit-depth=10,--bit-depth=all,--chroma-format=400,--chroma-format=420,--chroma-format=422,--chroma-format=444,--chroma-format=all,binary-size,unit,nr-of-gadgets
false,false,false,false,true,false,false,true,true,true,true,true,false,false,false,false,false,true,false,false,false,false,false,false,true,false,true,false,false,false,false,1177832,bytes,42108
true,false,true,false,true,false,true,false,false,true,true,false,false,false,true,false,false,true,false,true,true,false,true,false,false,true,false,true,false,false,false,3096112,bytes,106878
false,false,true,false,false,true,false,false,true,true,true,false,false,false,true,false,false,true,true,true,true,false,true,false,false,true,false,false,false,true,false,3096112,bytes,106878
true,false,true,false,true,true,true,false,false,true,false,true,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,true,1814064,bytes,68390
true,true,true,true,true,false,false,true,true,true,true,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false,false,false,false,false,true,1263432,bytes,45012
false,true,true,true,false,true,true,false,false,false,true,true,false,false,false,false,false,false,true,true,true,true,true,false,false,false,false,false,false,false,true,3096112,bytes,106878
false,false,true,false,true,true,false,true,true,true,true,true,false,false,false,false,true,true,true,true,true,true,true,false,true,false,false,false,true,false,false,3096112,bytes,106878
true,false,true,true,true,false,false,true,false,false,false,true,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,true,false,false,8115080,bytes,62061
true,false,false,true,false,false,false,false,true,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,1776944,bytes,59125
false,false,true,false,true,false,false,false,true,false,true,false,false,false,false,false,false,false,true,true,false,true,false,false,true,false,false,true,false,false,false,1742568,bytes,56767
true,false,true,true,false,false,false,true,true,true,false,false,false,false,false,false,true,false,false,true,true,false,false,false,true,false,true,false,false,false,false,1357976,bytes,48951
true,true,true,true,true,false,false,true,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,8397808,bytes,63409
true,false,true,true,false,false,true,false,false,true,false,false,false,false,false,false,false,true,true,false,true,true,false,false,true,false,false,true,false,false,false,1560304,bytes,58249
true,false,false,true,true,true,false,false,false,true,false,true,false,false,false,false,true,true,false,false,false,false,false,false,true,false,false,false,true,false,false,876304,bytes,33296
