--disable-avs,--disable-swscale,--disable-lavf,--disable-ffms,--disable-gpac,--disable-lsmash,--enable-lto,--enable-debug,--enable-gprof,--enable-strip,--enable-pic,--disable-asm,--enable-shared,--enable-static,--enable-bashcompletion,--disable-cli,--disable-bashcompletion,--disable-opencl,--disable-gpl,--disable-thread,--disable-win32thread,--disable-interlaced,--system-libx264,--bit-depth=8,--bit-depth=10,--bit-depth=all,--chroma-format=400,--chroma-format=420,--chroma-format=422,--chroma-format=444,--chroma-format=all,binary-size,unit,nr-of-gadgets
false,false,true,true,false,false,false,false,true,true,true,false,false,false,false,false,true,true,false,true,false,false,true,false,false,true,false,true,false,false,false,3096112,bytes,106878
true,true,true,true,false,true,true,false,true,true,true,false,false,false,true,false,false,true,true,true,true,false,true,true,false,false,false,false,false,false,true,3096112,bytes,106878
false,false,false,false,true,false,true,false,true,true,true,false,false,false,false,false,true,true,false,false,false,true,false,true,false,false,false,false,false,false,false,1776040,bytes,66159
false,false,false,false,true,true,false,false,true,false,true,true,false,false,false,false,true,true,false,false,true,true,true,false,true,false,false,true,false,false,false,3096112,bytes,106878
false,true,true,true,true,false,false,false,false,true,true,true,false,false,true,false,false,false,true,false,true,false,false,false,false,true,false,true,false,false,false,2150488,bytes,77865
false,false,true,true,false,true,true,false,false,true,true,false,false,false,true,false,false,false,false,true,false,true,false,false,false,false,false,false,false,true,false,2072920,bytes,76003
false,false,false,false,true,true,false,false,false,true,false,false,false,false,false,false,true,true,false,true,false,false,false,true,false,false,false,false,true,false,false,1151280,bytes,44847
true,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,true,true,true,true,true,false,false,false,false,false,false,true,false,false,false,2202568,bytes,71318
true,false,false,true,true,false,false,false,true,false,false,false,false,false,true,false,false,true,false,false,true,false,false,false,true,false,false,false,true,false,false,1765048,bytes,57136
false,true,true,true,true,true,true,false,false,true,true,true,false,false,false,false,false,false,true,false,true,true,true,true,false,false,false,false,false,false,true,3096112,bytes,106878
true,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,true,false,false,false,true,true,false,false,false,false,false,false,false,true,3096112,bytes,106878
true,false,true,true,false,false,false,false,true,false,true,false,false,false,false,false,true,true,true,false,false,false,false,false,false,true,true,false,false,false,false,2765472,bytes,90556
true,false,false,true,false,true,true,false,false,false,true,false,false,false,false,false,true,false,true,false,true,false,true,false,false,true,false,false,false,true,false,3096112,bytes,106878
