,--disable-avs,--disable-swscale,--disable-lavf,--disable-ffms,--disable-gpac,--disable-lsmash,--enable-lto,--enable-debug,--enable-gprof,--enable-strip,--enable-pic,--disable-asm,--enable-shared,--enable-static,--enable-bashcompletion,--disable-cli,--disable-bashcompletion,--disable-opencl,--disable-gpl,--disable-thread,--disable-win32thread,--disable-interlaced,--system-libx264,--bit-depth=8,--bit-depth=10,--bit-depth=all,--chroma-format=400,--chroma-format=420,--chroma-format=422,--chroma-format=444,--chroma-format=all,binary-size,unit,nr-of-gadgets
93,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,True,False,False,False,1742568,bytes,56767
94,True,False,True,True,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False,False,False,1357976,bytes,48951
95,True,True,True,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,8397808,bytes,63409
96,True,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,True,True,False,False,True,False,False,True,False,False,False,1560304,bytes,58249
97,True,False,False,True,True,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,876304,bytes,33296
98,True,True,True,True,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,True,False,False,1590072,bytes,62026
99,True,True,True,True,False,True,True,False,False,True,True,True,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,1818040,bytes,71615
100,True,False,False,True,True,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,True,False,False,False,3096112,bytes,106878
101,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,1751704,bytes,60712
102,True,False,False,False,True,True,False,True,True,False,True,False,False,False,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False,False,False,3096112,bytes,106878
103,True,False,True,True,False,False,False,True,True,True,False,True,False,False,True,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,True,1337144,bytes,44841
104,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,1269808,bytes,45728
105,False,False,True,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,False,True,False,False,False,False,850200,bytes,31323
106,True,True,True,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,985032,bytes,33425
107,True,True,True,True,True,True,False,False,True,False,True,True,False,False,False,False,True,False,True,True,True,False,True,False,False,True,False,True,False,False,False,3096112,bytes,106878
108,True,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,True,True,False,True,True,True,False,False,False,True,False,False,False,3096112,bytes,106878
109,False,False,False,False,False,True,False,False,True,True,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,3096112,bytes,106878
110,False,True,True,True,True,True,True,False,False,True,True,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,863520,bytes,33069
111,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,True,False,1610640,bytes,54298
112,False,False,False,True,False,True,False,False,False,True,True,True,False,False,True,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False,False,3096112,bytes,106878
113,False,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,915168,bytes,32727
114,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,False,False,False,False,False,True,True,True,True,False,False,False,False,False,True,False,3096112,bytes,106878
115,True,False,True,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,3096112,bytes,106878
116,True,False,True,False,True,False,True,False,False,True,True,True,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,3096112,bytes,106878
117,True,False,False,True,True,True,False,False,True,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,2137480,bytes,75143
118,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,1577896,bytes,52026
119,False,False,True,True,False,True,True,False,True,True,True,False,False,False,False,False,True,False,False,True,False,True,True,True,False,False,False,True,False,False,False,3096112,bytes,106878
120,True,False,False,True,False,False,False,True,True,True,True,True,False,False,True,False,False,True,True,True,False,True,False,False,False,False,True,False,False,False,False,1604040,bytes,57687
121,True,False,True,False,True,True,False,False,True,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,898952,bytes,31909
122,False,False,True,True,False,True,False,True,True,True,True,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,3096112,bytes,106878
123,False,True,True,True,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,4586520,bytes,41512
124,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,1582088,bytes,48945
125,False,True,True,True,False,True,False,True,False,True,True,True,False,False,False,False,False,True,True,True,True,False,True,False,False,True,True,False,False,False,False,3096112,bytes,106878
126,False,False,False,False,False,True,True,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,3096112,bytes,106878
127,True,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,4713712,bytes,41797
128,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,True,True,False,True,True,False,True,False,True,False,False,False,False,False,True,3096112,bytes,106878
129,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,True,False,False,True,True,False,False,False,False,3096112,bytes,106878
130,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,True,True,False,True,False,False,True,False,True,False,False,False,3096112,bytes,106878
131,True,True,True,True,False,True,False,True,True,True,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,1108184,bytes,40300
132,True,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,True,False,False,4535152,bytes,42064
133,False,True,True,True,False,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,3096112,bytes,106878
134,False,True,True,True,True,False,True,False,True,False,True,False,False,False,False,False,True,True,True,True,False,False,True,False,False,True,False,True,False,False,False,3096112,bytes,106878
135,True,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,True,False,False,True,True,True,False,False,False,True,False,False,True,False,False,2212984,bytes,81492
136,False,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,True,False,False,False,2110288,bytes,79144
137,True,False,False,True,True,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,1709200,bytes,62792
138,True,False,False,False,True,False,False,True,True,True,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,True,1915544,bytes,66389
139,True,False,True,False,False,False,False,True,True,True,True,True,False,False,False,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,False,3096112,bytes,106878
140,False,False,True,False,False,True,True,False,True,True,True,True,False,False,True,False,False,True,False,False,False,True,True,False,True,False,True,False,False,False,False,3096112,bytes,106878
141,False,False,False,False,True,True,False,True,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,True,False,952888,bytes,35211
142,False,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,1877880,bytes,61885
