--with-select_module,--with-poll_module,--with-threads,--with-file-aio,--with-http_ssl_module,--with-http_v2_module,--with-http_realip_module,--with-http_addition_module,--with-http_xslt_module,--with-http_xslt_module=dynamic,--with-http_image_filter_module,--with-http_image_filter_module=dynamic,--with-http_geoip_module,--with-http_geoip_module=dynamic,--with-http_sub_module,--with-http_dav_module,--with-http_flv_module,--with-http_mp4_module,--with-http_gunzip_module,--with-http_gzip_static_module,--with-http_auth_request_module,--with-http_random_index_module,--with-http_secure_link_module,--with-http_degradation_module,--with-http_slice_module,--with-http_stub_status_module,--with-http_perl_module=dynamic,--with-mail,--with-mail=dynamic,--with-mail_ssl_module,--with-stream,--with-stream=dynamic,--with-stream_ssl_module,--with-stream_realip_module,--with-stream_geoip_module,--with-stream_geoip_module=dynamic,--with-stream_ssl_preread_module,--with-google_perftools_module,--with-compat,--with-pcre,--with-pcre-jit,--with-zlib-asm=CPU,--with-libatomic,--with-debug,--without-select_module,--without-poll_module,--without-http_charset_module,--without-http_gzip_module,--without-http_ssi_module,--without-http_userid_module,--without-http_access_module,--without-http_auth_basic_module,--without-http_mirror_module,--without-http_autoindex_module,--without-http_geo_module,--without-http_map_module,--without-http_split_clients_module,--without-http_referer_module,--without-http_rewrite_module,--without-http_proxy_module,--without-http_fastcgi_module,--without-http_uwsgi_module,--without-http_scgi_module,--without-http_grpc_module,--without-http_memcached_module,--without-http_limit_conn_module,--without-http_limit_req_module,--without-http_empty_gif_module,--without-http_browser_module,--without-http_upstream_hash_module,--without-http_upstream_ip_hash_module,--without-http_upstream_least_conn_module,--without-http_upstream_random_module,--without-http_upstream_keepalive_module,--without-http_upstream_zone_module,--without-http,--without-http-cache,--without-mail_pop3_module,--without-mail_imap_module,--without-mail_smtp_module,--without-stream_limit_conn_module,--without-stream_access_module,--without-stream_geo_module,--without-stream_map_module,--without-stream_split_clients_module,--without-stream_return_module,--without-stream_upstream_hash_module,--without-stream_upstream_least_conn_module,--without-stream_upstream_random_module,--without-stream_upstream_zone_module,binary-size,unit,nr-of-gadgets
false,false,false,false,false,true,false,false,true,true,false,false,true,false,false,true,false,false,false,true,false,false,true,false,false,true,false,false,false,true,true,false,true,false,false,true,true,true,false,false,true,true,false,true,false,true,false,false,true,false,false,false,false,true,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,true,false,true,true,false,true,false,false,false,false,true,true,true,true,false,false,5705280,bytes,38030
true,true,true,false,false,true,false,true,false,true,false,false,true,false,true,false,true,false,false,true,false,false,false,true,false,false,false,true,false,true,false,false,true,false,false,true,true,true,true,true,true,false,true,false,true,false,false,true,true,false,true,true,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,true,true,false,true,true,true,true,true,true,true,false,false,false,true,true,false,false,true,false,false,true,true,2187272,bytes,16856
true,true,true,false,true,false,true,true,true,true,false,false,false,true,true,true,true,false,false,true,false,false,false,true,true,false,true,false,true,false,true,true,true,true,false,false,true,true,false,true,false,false,true,false,true,false,true,true,false,false,false,true,false,false,true,false,false,true,false,true,false,true,true,true,false,true,false,false,true,true,false,true,false,false,false,true,true,false,false,false,true,false,false,false,false,false,true,false,false,true,1818104,bytes,14461
true,false,false,true,true,true,false,true,true,false,false,true,true,false,true,false,false,true,false,false,true,false,false,true,false,true,false,false,false,false,true,false,false,false,false,false,true,true,false,true,true,false,true,false,false,false,true,false,true,true,false,false,false,true,false,false,false,true,false,true,false,true,true,false,true,true,true,true,true,true,false,false,false,false,true,false,true,false,false,false,false,true,false,true,true,true,false,false,true,false,5483952,bytes,34845
false,true,true,true,true,true,true,false,false,true,false,false,false,false,true,true,false,true,false,true,false,false,false,false,true,true,true,false,true,true,true,false,false,false,false,false,false,true,false,true,true,true,false,true,false,false,false,true,false,true,false,true,false,true,false,false,true,false,true,true,false,false,true,false,false,false,false,true,true,false,false,true,true,false,true,true,false,true,true,true,true,true,true,true,true,false,false,false,false,false,2470736,bytes,18310
false,true,false,true,false,false,true,true,true,false,false,false,true,false,false,true,false,false,false,true,true,false,true,false,false,true,false,false,true,true,true,false,true,false,false,true,false,false,true,true,false,true,false,true,false,false,true,true,true,true,false,true,false,false,false,true,false,true,true,false,false,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,true,true,true,false,false,true,true,true,false,true,false,2478160,bytes,18687
false,false,true,false,false,true,false,true,true,false,true,false,true,true,false,true,false,true,true,true,true,false,false,false,true,false,false,true,false,false,true,true,true,true,false,false,false,true,true,false,true,false,false,false,true,true,true,false,false,false,true,false,false,false,true,false,false,true,true,false,false,false,false,false,true,false,true,true,true,false,true,false,false,true,false,true,false,false,true,true,false,true,true,false,true,true,false,true,false,false,2059024,bytes,16073
true,true,false,true,false,true,true,false,false,true,false,false,true,false,false,true,false,false,true,false,true,true,false,true,true,false,false,false,true,false,true,true,true,false,false,true,true,true,true,false,true,false,false,false,false,true,true,false,true,true,true,false,true,true,false,true,false,false,false,false,true,false,true,true,true,false,true,false,true,true,false,true,false,false,false,true,false,false,true,true,true,false,true,true,false,false,false,false,false,false,1786800,bytes,14256
true,true,true,true,true,true,false,true,true,false,false,true,false,false,false,false,true,false,true,false,true,false,false,false,true,true,false,false,false,false,true,true,false,false,true,true,true,false,true,true,true,true,true,true,false,false,true,true,false,false,true,false,false,true,false,false,false,false,true,false,false,true,false,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,false,false,true,true,false,true,true,false,false,true,false,1663440,bytes,13079
true,false,true,true,true,true,true,false,false,false,false,false,true,true,true,false,true,false,true,false,true,true,false,true,false,false,true,true,false,true,false,true,false,true,true,true,false,true,true,true,true,true,true,false,false,true,true,true,true,false,true,false,false,true,true,true,true,false,false,true,false,false,false,true,false,true,true,false,false,true,true,true,false,false,true,false,true,false,true,false,true,true,true,false,true,false,false,true,true,false,5099816,bytes,33251
false,true,true,true,true,true,true,true,true,true,false,false,false,false,true,false,true,false,true,true,false,true,false,true,true,true,false,false,false,true,true,false,false,true,true,true,false,false,true,true,true,true,false,false,false,false,false,false,true,false,true,false,true,false,true,true,false,false,true,true,true,true,true,false,true,true,true,true,false,false,false,false,true,false,false,false,false,true,false,true,false,false,true,true,true,true,false,false,true,false,5692064,bytes,35470
true,false,false,true,true,true,true,true,false,false,true,true,false,true,false,true,false,true,true,false,true,false,true,true,true,false,true,false,true,false,false,true,false,false,false,false,true,true,true,false,false,true,true,true,true,true,false,true,true,false,true,false,false,false,true,true,true,false,false,true,false,false,true,true,false,true,false,true,true,false,false,false,true,true,false,true,false,true,true,true,true,true,true,false,false,false,true,true,true,true,1564496,bytes,12371
true,true,false,true,true,false,false,true,true,false,false,false,false,false,false,true,false,true,false,true,false,false,true,false,true,true,false,true,true,false,true,true,true,true,false,false,true,false,true,true,false,false,true,true,true,false,true,true,true,false,true,false,true,false,false,false,true,false,false,true,false,false,false,false,false,true,true,true,true,true,true,false,false,false,true,false,true,false,true,false,false,false,false,true,true,true,false,false,false,false,4610296,bytes,30366
true,false,false,false,true,false,true,false,false,false,true,false,true,false,false,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,false,false,true,false,true,false,true,false,true,true,false,false,false,true,false,false,false,true,false,true,false,false,false,false,true,false,false,true,false,true,true,true,false,false,true,false,true,true,false,true,false,false,false,true,true,false,false,false,false,false,true,true,false,false,true,true,false,false,false,false,4955136,bytes,32434
false,false,false,false,true,true,true,false,false,false,false,true,false,true,true,false,false,true,false,false,true,false,true,true,true,false,true,false,false,true,true,true,true,false,true,false,false,true,false,false,false,true,true,false,true,true,false,true,false,false,false,false,false,true,true,true,false,true,true,false,false,false,false,false,false,false,false,false,true,true,false,true,false,true,false,false,false,false,false,true,true,false,true,true,true,false,true,true,true,false,5301088,bytes,34980
true,false,true,false,true,false,true,true,false,true,false,true,false,true,true,false,false,false,false,false,false,false,false,true,true,false,true,true,false,true,true,true,false,true,true,false,false,true,true,true,true,true,true,true,false,false,false,false,false,false,true,false,false,true,true,true,false,false,true,false,true,true,true,true,false,false,false,false,false,true,true,true,true,true,true,false,true,true,false,false,true,true,false,false,false,false,true,true,false,false,4795392,bytes,32917
true,true,true,false,false,false,false,true,true,true,false,false,false,true,true,false,true,true,false,false,true,true,true,false,true,false,false,true,true,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,false,true,true,true,false,true,false,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,false,false,true,false,false,true,true,true,false,false,true,false,false,false,true,false,true,false,true,false,true,true,false,false,3882184,bytes,25949
false,true,false,false,true,false,false,true,false,false,false,false,true,true,true,true,false,true,false,true,false,false,false,false,true,false,false,true,true,false,false,false,false,true,true,true,true,true,false,false,false,false,true,true,false,false,false,false,true,false,true,false,false,false,false,false,false,true,true,false,true,true,true,false,true,false,false,false,false,true,false,false,false,true,false,true,true,false,false,true,false,false,true,false,false,true,false,true,false,false,1544504,bytes,12327
false,true,false,false,true,false,true,false,false,false,true,true,false,false,false,true,false,true,true,false,true,true,false,true,true,false,true,true,true,false,false,false,true,false,true,true,true,false,true,true,true,false,true,true,true,true,false,true,false,false,false,true,true,true,false,false,false,false,false,true,false,false,true,true,false,false,true,false,false,true,false,false,false,true,false,true,false,true,true,false,true,false,true,false,false,false,false,true,true,false,1516952,bytes,12337
false,false,true,true,true,true,true,false,true,true,false,true,false,true,false,true,true,false,false,true,false,true,true,true,false,false,false,true,true,true,false,true,true,true,false,false,false,true,true,false,true,true,true,true,false,true,false,false,true,true,true,false,true,false,false,true,false,false,true,true,false,true,true,true,false,true,true,false,false,true,true,false,false,true,false,false,true,true,true,false,true,true,false,true,false,false,true,true,false,false,4838576,bytes,31256
false,false,false,true,true,true,true,false,false,false,false,true,false,true,true,false,true,false,false,true,false,false,false,true,true,false,true,true,true,true,false,false,true,true,false,false,true,false,true,true,true,true,false,false,false,false,false,false,true,true,true,false,false,true,true,false,true,false,true,true,true,true,true,false,false,true,true,false,false,true,true,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,4835312,bytes,31173
false,true,false,false,false,false,true,false,true,true,false,false,true,false,true,false,true,true,false,false,true,true,true,false,false,true,true,true,true,false,false,true,false,true,false,false,false,true,true,false,false,true,false,false,true,true,true,true,true,false,false,false,true,true,true,true,true,true,false,true,true,true,false,true,false,false,true,false,false,true,true,true,true,true,false,false,true,false,true,true,true,false,false,false,false,false,false,false,false,false,3716872,bytes,23846
false,false,true,true,true,false,false,false,true,true,false,true,true,true,true,false,false,true,true,false,false,false,false,false,false,true,false,false,true,false,false,true,false,false,false,true,true,false,false,true,false,true,false,true,true,false,false,true,false,false,false,false,false,false,true,true,false,true,true,false,false,false,true,true,true,true,false,false,false,true,false,false,false,false,false,false,true,false,true,true,true,true,true,true,false,true,true,false,false,false,4741168,bytes,32801
false,true,true,true,true,false,false,false,false,false,true,false,false,true,false,false,true,false,true,false,true,false,true,true,true,true,true,true,false,true,false,true,false,true,true,false,true,true,true,true,true,true,false,false,true,true,false,false,false,false,true,true,false,false,true,false,true,false,false,false,false,false,true,true,true,true,true,true,false,false,true,false,true,true,false,false,false,false,false,false,false,true,false,true,true,true,false,false,false,false,5264240,bytes,35687
true,false,false,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,false,false,false,false,false,true,true,false,false,false,true,true,false,false,true,false,false,true,false,true,false,true,true,true,false,false,true,false,false,false,true,true,false,true,false,true,true,true,false,false,true,false,false,false,false,true,true,false,false,false,true,true,true,true,true,true,false,false,false,true,false,true,false,true,true,false,false,true,true,2225160,bytes,16960
false,true,true,true,true,true,false,false,true,false,true,false,false,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,true,true,false,true,false,true,false,true,true,true,false,false,false,true,true,false,true,true,true,false,true,true,true,false,true,true,false,true,true,true,false,true,false,true,true,true,true,false,false,false,false,false,false,false,true,true,false,true,false,true,false,false,false,true,false,false,false,4862816,bytes,32117
false,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,true,false,false,true,true,false,false,false,true,true,true,true,false,true,false,false,true,true,true,false,false,false,true,false,false,true,true,false,true,true,false,false,true,true,true,false,true,true,true,true,true,false,false,false,true,false,false,true,true,false,false,true,false,true,true,true,true,true,true,true,false,false,true,false,false,true,false,false,true,false,false,true,false,2172784,bytes,15863
true,false,false,true,true,false,false,false,false,false,true,true,false,false,false,false,true,false,false,true,false,true,false,true,true,true,true,false,true,false,true,false,false,true,true,true,true,false,true,true,false,true,true,true,false,false,true,false,false,false,false,false,true,false,false,false,true,true,true,true,false,true,true,true,false,false,false,true,false,true,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,2329808,bytes,16634
false,true,true,false,false,true,true,false,false,false,true,true,false,true,false,true,true,false,true,false,false,false,false,false,true,true,true,true,true,true,false,true,true,true,true,false,true,false,true,true,true,false,false,false,true,false,true,true,true,true,true,false,true,false,true,false,true,true,true,false,false,true,false,true,false,true,false,true,true,true,true,true,true,false,true,true,true,true,false,true,false,true,true,true,true,true,true,false,true,false,1820888,bytes,14591
true,false,false,true,false,false,true,true,true,false,false,true,false,false,true,true,true,false,true,true,false,true,false,true,true,false,true,false,true,true,false,false,false,false,true,false,false,false,false,false,true,true,false,true,true,false,true,true,false,true,true,true,true,false,false,false,true,false,true,true,false,true,true,true,true,false,false,true,true,true,true,false,true,true,true,true,false,false,false,true,false,false,false,true,true,false,true,true,false,false,1819200,bytes,14886
false,false,false,false,true,true,true,true,true,false,false,true,true,false,true,false,true,true,false,false,false,true,true,true,true,false,true,true,true,true,false,true,false,false,true,true,true,true,true,false,false,true,true,false,false,false,false,false,false,true,true,true,false,true,true,false,false,true,false,true,true,false,true,false,false,true,true,false,false,false,false,false,true,false,false,true,false,true,true,false,true,true,true,true,false,true,false,false,false,false,1738456,bytes,13956
false,true,false,true,false,true,true,true,true,true,true,false,true,true,false,false,false,true,true,true,true,false,false,true,true,true,true,true,true,true,false,true,true,true,false,false,true,false,false,true,true,false,true,true,false,true,false,false,true,false,true,true,true,false,true,false,true,true,true,false,true,false,false,false,false,false,false,true,true,true,false,true,false,true,true,true,false,false,true,false,true,false,true,false,false,true,false,false,true,false,1827536,bytes,14851
false,false,true,true,false,true,true,false,false,true,true,false,true,true,true,true,true,true,false,true,true,false,false,false,true,false,true,true,true,true,true,true,false,false,false,false,false,true,false,true,false,true,true,true,true,true,true,false,false,false,true,false,false,true,true,true,false,false,true,true,false,true,true,false,true,true,false,false,false,true,true,false,true,false,false,false,true,false,true,true,true,false,true,true,true,true,false,false,false,false,5181320,bytes,34438
true,true,false,true,true,false,false,false,false,false,false,true,true,false,true,true,false,false,true,true,true,true,true,true,true,true,true,false,true,false,false,true,false,true,true,false,false,true,true,true,false,true,true,false,false,false,true,true,true,false,false,false,false,true,true,false,true,true,false,false,false,false,true,true,true,false,false,false,true,true,true,false,false,false,true,true,true,true,false,true,false,false,false,false,true,true,true,false,false,false,1568696,bytes,12232
false,false,true,false,false,false,true,true,true,false,true,true,true,true,false,false,true,true,false,true,false,true,false,true,false,true,true,false,true,true,false,false,false,true,true,true,false,false,true,true,false,true,true,false,false,true,false,true,false,false,false,true,false,true,true,false,false,false,true,true,true,false,true,false,false,true,false,false,false,false,true,false,true,false,false,true,false,true,true,true,true,false,true,false,true,false,false,false,false,true,1788224,bytes,14374
false,false,true,false,false,true,true,true,true,false,true,false,true,true,true,false,false,true,true,true,true,true,false,false,false,true,true,true,false,false,true,true,false,false,true,true,true,false,false,false,true,true,true,false,false,false,true,true,false,false,false,true,true,false,false,true,false,false,false,false,true,true,true,true,false,true,true,true,true,false,true,false,false,true,true,false,true,false,true,false,false,true,true,false,false,false,true,false,false,false,4921640,bytes,32005
false,false,false,true,false,false,true,true,true,true,false,true,false,false,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,false,false,false,false,true,false,true,false,true,false,true,false,true,true,true,true,false,false,false,false,false,false,true,false,true,false,false,false,true,true,false,true,false,true,false,true,false,false,true,true,false,false,false,true,false,true,true,true,false,true,true,false,true,true,false,false,false,true,false,true,false,1574496,bytes,12423
true,true,false,false,true,false,false,true,true,false,false,false,true,false,false,false,true,true,true,true,false,true,true,false,false,false,false,true,false,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true,false,true,true,false,false,true,false,false,true,true,true,true,false,true,true,false,false,false,false,false,true,true,false,false,false,false,true,true,true,false,true,false,false,false,false,true,false,false,false,false,4948144,bytes,32472
true,true,false,false,true,false,true,false,true,false,true,true,false,true,false,true,false,true,false,false,false,true,false,true,false,false,false,true,false,false,true,true,true,true,true,true,false,false,true,true,false,false,true,false,false,true,false,false,true,true,false,true,false,true,false,false,false,true,false,false,true,true,true,true,true,false,true,true,false,true,true,false,false,false,true,false,false,false,true,true,true,false,false,false,true,true,true,true,false,false,4794584,bytes,30966
false,false,false,true,false,false,true,true,true,true,false,false,false,false,false,true,false,true,true,true,true,false,false,false,false,false,true,false,true,false,true,true,false,false,true,false,false,false,true,false,true,false,false,true,true,true,true,true,false,true,false,false,true,true,false,true,true,false,true,false,true,false,false,true,false,false,false,false,true,false,true,true,true,true,true,true,false,false,true,false,false,false,true,false,true,false,true,false,true,false,1540960,bytes,12378
false,true,true,false,false,false,false,true,false,false,false,false,false,false,true,false,false,true,false,true,false,false,true,false,true,true,false,true,true,true,true,false,true,false,false,false,true,true,false,false,false,true,true,true,true,true,false,false,false,true,true,true,true,false,false,false,true,false,true,false,false,false,true,false,true,true,false,true,true,true,true,false,true,false,false,true,false,false,false,true,true,true,true,true,false,true,true,true,true,true,2397848,bytes,18405
true,false,false,false,true,false,false,false,true,true,false,false,true,true,false,true,true,false,false,false,true,false,true,false,false,true,true,false,true,true,false,false,true,true,false,false,true,false,false,false,true,true,true,false,true,true,false,true,true,true,true,false,false,false,true,false,false,true,false,true,false,false,false,false,false,true,false,true,false,false,true,false,false,true,true,true,true,false,true,false,true,false,false,false,true,true,false,true,false,false,1718952,bytes,13870
false,false,true,false,true,false,true,true,true,true,false,false,false,false,false,false,true,false,false,true,false,false,true,false,true,true,false,false,false,false,true,false,true,true,false,true,false,false,true,false,true,true,false,false,false,false,true,true,true,false,true,true,false,true,true,true,true,true,true,false,true,false,true,true,false,true,false,true,false,false,true,true,false,true,true,false,false,true,false,false,true,false,true,false,true,true,false,false,false,false,4780816,bytes,31592
true,false,false,false,true,false,true,true,false,false,true,true,false,true,true,true,false,false,true,false,true,false,false,false,false,false,true,true,true,false,false,false,true,false,false,false,false,false,true,false,true,true,true,false,true,false,true,false,true,false,false,true,true,true,false,false,true,true,true,false,false,true,false,true,false,true,true,false,true,false,true,false,false,false,true,false,true,true,false,true,true,true,true,false,true,false,true,false,false,false,4131280,bytes,27726
false,true,true,false,true,false,true,true,true,false,true,true,true,false,true,false,false,false,false,true,true,true,true,true,true,true,true,false,true,false,false,true,true,true,false,false,true,false,false,true,false,true,false,false,true,false,false,false,false,false,false,false,true,true,true,true,false,false,true,false,true,false,true,false,false,true,false,true,true,true,false,true,true,true,true,true,false,true,true,false,true,true,true,false,false,true,false,false,false,false,1817720,bytes,14606
true,false,false,true,true,true,false,true,false,true,false,false,false,true,true,false,true,true,false,true,false,false,false,false,true,false,false,true,true,false,false,true,false,true,true,false,true,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,false,true,true,true,true,true,false,true,false,false,true,true,false,true,true,true,false,false,true,true,true,false,true,true,false,false,true,true,true,false,false,true,true,false,1519464,bytes,12143
true,false,false,false,false,false,true,true,true,true,false,true,false,true,false,true,true,false,true,true,true,false,false,true,false,false,true,true,false,false,true,true,false,true,true,true,true,true,true,true,false,false,true,true,false,true,false,false,false,true,false,true,true,true,false,true,false,true,false,false,true,false,true,false,true,true,true,false,true,false,true,false,false,false,true,true,true,false,false,false,false,false,false,false,true,false,true,true,true,false,1930552,bytes,14844
false,false,false,false,false,true,false,true,false,true,false,true,false,false,false,false,true,false,true,false,true,false,true,true,false,true,false,false,false,false,false,true,false,true,true,false,true,false,true,true,true,true,false,false,false,false,true,false,true,false,true,true,false,true,true,true,false,true,true,false,false,false,false,true,true,false,false,false,false,true,false,true,true,true,true,true,false,true,true,false,false,false,false,true,true,true,false,false,true,true,1454248,bytes,12067
false,true,false,false,false,false,true,false,true,false,true,true,true,false,true,true,false,false,true,false,true,false,true,false,true,true,true,false,true,false,true,false,false,true,true,true,true,true,false,true,true,false,false,false,false,true,true,true,true,false,false,true,true,true,false,false,true,true,false,true,false,true,false,true,false,false,true,true,true,false,false,true,false,false,false,false,true,true,false,false,true,false,false,true,true,false,true,false,false,false,4561240,bytes,28955
false,true,true,true,true,false,false,true,false,false,false,true,true,true,false,true,true,true,false,true,true,false,false,true,false,true,true,false,false,true,false,false,false,true,false,false,false,false,false,true,false,true,false,false,false,true,true,true,false,true,true,true,false,false,true,true,false,true,true,true,false,true,false,true,true,true,true,true,false,false,false,true,true,true,false,false,false,true,true,true,false,true,false,true,false,true,true,false,true,false,4459288,bytes,29694
true,true,false,true,true,true,true,true,false,true,false,false,true,true,true,true,false,true,true,false,false,true,true,true,true,true,false,true,false,false,true,true,true,false,false,true,false,true,false,false,false,true,true,true,false,true,false,true,true,true,false,false,false,false,true,true,true,false,true,false,false,false,false,false,true,true,false,true,true,true,false,true,true,true,false,false,true,false,true,false,false,true,false,true,true,true,true,true,false,false,5580336,bytes,37957
false,false,true,false,false,true,true,true,true,true,false,true,false,false,true,false,false,true,true,true,false,true,true,false,false,false,false,false,false,false,true,false,true,false,false,false,false,true,true,false,false,true,false,false,true,true,true,false,false,true,true,false,true,true,true,false,true,false,true,false,false,true,true,false,true,true,true,false,false,false,false,false,true,false,true,true,true,false,false,true,false,false,true,false,false,true,true,true,true,true,2365320,bytes,17852
