,MAPE_DT_nr-of-gadgets,MAPE_RF_nr-of-gadgets,MAPE_linear_HuberRegressor_nr-of-gadgets,MAPE_linear_Lasso_nr-of-gadgets,MAPE_linear_OLS_nr-of-gadgets,MAPE_linear_Ridge_nr-of-gadgets,MAPE_polylinear3_HuberRegressor_nr-of-gadgets,MAPE_polylinear3_Lasso_nr-of-gadgets,MAPE_polylinear3_OLS_nr-of-gadgets,MAPE_polylinear3_Ridge_nr-of-gadgets,MAPE_polylinear_HuberRegressor_nr-of-gadgets,MAPE_polylinear_Lasso_nr-of-gadgets,MAPE_polylinear_OLS_nr-of-gadgets,MAPE_polylinear_Ridge_nr-of-gadgets,corr,corr_spearman,system,test_size
10,"[0.0426761531076975, 0.04902141921729388, 0.038191772004629206, 0.049148714092489894, 0.04101668611220118, 0.04021039952962681, 0.043416438886344264, 0.037925225036806384, 0.049991571950503924, 0.04193696162082289]","[0.031091542037208215, 0.03187749814252114, 0.03356711047730916, 0.03922424463200077, 0.030247217185950713, 0.035224867214436115, 0.03597535028293612, 0.03257932418013243, 0.03501701823149988, 0.03325959757953964]",0.10644837811529823,0.040310827415073566,0.04370258833065063,0.037653311143060246,0.6267827044527244,0.13983373837636237,0.0884018313359602,0.08838566362749976,0.671834387322296,0.06347038677664919,0.1113795758701853,0.1112729882282281,0.8492968915576291,0.8303681802091395,xz,0.85
11,"[0.13161072162202261, 0.12279975734257659, 0.1430458125849401, 0.12508067922840335, 0.12643469704912583, 0.12724284738985592, 0.14432921079700106, 0.1397575927758665, 0.12932166249801347, 0.14751911024128853]","[0.09858072657283576, 0.09108438188815178, 0.10647871495635872, 0.10158789999902838, 0.08738746614179292, 0.09543134434791734, 0.09202145872151925, 0.1115890449130757, 0.09028110331104118, 0.09324959657291529]",0.33654995111990066,0.1606884170923628,0.28182582806272,0.27005038717156227,0.6749711912886951,0.2696510396752746,0.7640974326794409,0.7652025957798441,0.7170940012159036,0.16171944550886472,0.9402441258537052,0.9376662700598294,0.998256409261126,0.9961018898375648,nginx,0.85
12,"[0.10152409875524022, 0.12670292993064194, 0.08976267142549567, 0.13447565903521358, 0.12641880054201993, 0.12440415293591833, 0.16755145579715006, 0.18166621145574918, 0.1675208677696378, 0.1561977916252342]","[0.11842028934299474, 0.13914820710926387, 0.09150617902296605, 0.10859042588438023, 0.12274179423807322, 0.09607608069800898, 0.13869006432422942, 0.1403317048666063, 0.15069969957425672, 0.09438883150718144]",0.1910383122810425,0.16986087451670662,0.3245631884587378,0.15611857121587316,0.7983053008381293,0.19343070904960438,0.40839378915259594,0.4081532272812444,0.6907917768722119,0.14924934647373853,0.2236637508357505,0.22484683378537884,0.5201228574340473,0.8215817912143653,x264,0.85
13,"[0.0076467903710328656, 0.01477484642904791, 0.016599269627375287, 0.02058732977028699, 0.020847818328408284, 0.008784165346162224, 0.006919862690666113, 0.0075673587687211715, 0.01485451306933569, 0.007230851842364577]","[0.015453788276262771, 0.014343473299279217, 0.01846688479084203, 0.01907595444105049, 0.01761605597850199, 0.0125165453848581, 0.01300925264239956, 0.013141424194454215, 0.013590308777954002, 0.015352298402715887]",0.06819961022451149,0.036837521342956925,0.037129452519610334,0.035430815958284415,0.5412753526870766,0.050212485931815404,0.19430932888648383,0.1940472450422604,0.5743108119780999,0.03958739416439273,0.06953762346063112,0.06984337333974903,0.9032391187305848,0.9876177915552941,sqlite,0.85
14,"[0.022415338286453385, 0.029212937126296978, 0.1397095027951149, 0.027719197173927592, 0.020491572475521677, 0.026346555828667857, 0.024561322175634486, 0.05650648642926941, 0.04664916046316517, 0.018244008224561417]","[0.023441715828719664, 0.03913817179425301, 0.14270876612673436, 0.02531337717479227, 0.023525503635017587, 0.024097372045405952, 0.030483403439101404, 0.03903592828451778, 0.06702904826451637, 0.02886440790974805]",0.027925864079169874,0.050357271405009375,0.028530757292615998,0.02770200492416463,0.05651257946940667,0.05018505570265985,0.03729313684383158,0.03794355049381934,0.05109319139333447,0.04829089461439593,0.032160581383199445,0.0326892585667141,0.34874234695545897,0.6810585028420866,curl,0.85
15,"[0.03909642131334444, 0.04393934068221849, 0.04257668717195679, 0.037839534737045113, 0.04905914137059544, 0.040013131700431595, 0.04728444669875233, 0.04318852313384498, 0.0370933560662277, 0.0408309249961999]","[0.0308948568157754, 0.032973526042532494, 0.032694962638171544, 0.03292603129607683, 0.03459842002073001, 0.03029144173681514, 0.03745466099242904, 0.033652653875802976, 0.03070127123298786, 0.03462222860884504]",0.10270098605615356,0.05146099419852477,0.11621978883121135,0.046364368210698774,0.6996073004632362,0.07758310758862616,0.07267865605800397,0.0726575245743856,0.9446457250457169,0.10302701380099921,0.15239283448439417,0.15172621974433698,0.8492968915576291,0.8303681802091395,xz,0.8
16,"[0.11004313738089522, 0.10891975898383363, 0.09940339620207553, 0.11818474125917096, 0.11430139514436939, 0.09211760922036687, 0.11043460672776755, 0.11225849289407505, 0.12356002083620679, 0.09807563985194613]","[0.08822026727861895, 0.09546981102018093, 0.08506256441724996, 0.09220636950245195, 0.08917720970791299, 0.08119261355512006, 0.08092559951503568, 0.08572294890424917, 0.0828289681868535, 0.08515043762822701]",0.26733810875149205,0.1552484468173596,0.19248107890475902,0.17827615400191257,0.8874906244716637,0.21318944968678286,0.5431834989085013,0.5431897807721998,0.8520563961237146,0.14401499278618296,1.0192331688866352,1.019095812164908,0.998256409261126,0.9961018898375648,nginx,0.8
17,"[0.14301069036792594, 0.11098975517334794, 0.11443752054254439, 0.10985396501831235, 0.12336589919805756, 0.14908644621790457, 0.0947731500192008, 0.12585168330884872, 0.10905554890702188, 0.15516274114563644]","[0.10545094154357362, 0.10568171480324984, 0.10330585789294444, 0.10413245437159455, 0.10954966963521766, 0.12581426143193913, 0.11193748437048504, 0.11684880738121177, 0.10751344963719008, 0.09937197772608608]",0.1449030175377288,0.12857611076487244,0.12862430417965467,0.13747603127961847,0.6583228507445821,0.1895781823530702,0.8976667613883424,0.8982531025870812,0.5980313562402566,0.1140779358891932,0.15461004082050825,0.1570603910504446,0.5201228574340473,0.8215817912143653,x264,0.8
18,"[0.006701723209597926, 0.0059156495433191625, 0.00771240572803069, 0.008235845907095746, 0.007459668593541383, 0.006039919226423022, 0.005831848668267227, 0.005563132916323317, 0.006702951294601087, 0.008153632503307492]","[0.016694577474934823, 0.014108994280297504, 0.006883114671844164, 0.011714276728409686, 0.01490429205565102, 0.009833174043796595, 0.007050323607517406, 0.010029309354143071, 0.013443232879221853, 0.00993377940059617]",0.05826555236768418,0.03373375841983385,0.03387559972062116,0.0322068099742811,0.5169587763801728,0.05041435884149174,0.11342077405063433,0.11339729182978524,0.5027804113074865,0.023972107917383773,0.046095168407645305,0.04619739744846627,0.9032391187305848,0.9876177915552941,sqlite,0.8
19,"[0.02523472600498754, 0.032693296425655424, 0.034267884195424474, 0.02554822984314361, 0.02555635465300393, 0.02277880014753853, 0.05639774753199642, 0.056159548842601215, 0.029001960162448773, 0.01877882483847359]","[0.02178724442724234, 0.03734647492025174, 0.0308759079246399, 0.034196162280482396, 0.02106041924966342, 0.0245109319187603, 0.03753256846269526, 0.02922116550008381, 0.03474645599757231, 0.02036963175141383]",0.017926859410738773,0.027564121043576688,0.016573972435801654,0.018033924178178406,0.028609558810201698,0.02139400930287347,0.01834234621463725,0.019404505458723027,0.032389340966045226,0.021013184930699237,0.01775406759582831,0.018860186585904517,0.34874234695545897,0.6810585028420866,curl,0.8
