,MAPE_DT_binary-size,MAPE_RF_binary-size,MAPE_linear_HuberRegressor_binary-size,MAPE_linear_Lasso_binary-size,MAPE_linear_OLS_binary-size,MAPE_linear_Ridge_binary-size,MAPE_polylinear3_HuberRegressor_binary-size,MAPE_polylinear3_Lasso_binary-size,MAPE_polylinear3_OLS_binary-size,MAPE_polylinear3_Ridge_binary-size,MAPE_polylinear_HuberRegressor_binary-size,MAPE_polylinear_Lasso_binary-size,MAPE_polylinear_OLS_binary-size,MAPE_polylinear_Ridge_binary-size,corr,corr_spearman,system,test_size
25,[0.06769283008192256],[0.043199516178693054],0.044529314446827784,0.07042187205516741,0.07054542688968066,0.05451544617541368,0.2904669244017357,0.05005259998529432,0.043975371890273694,0.043948415014316164,0.17141719252370077,0.05137517632695196,0.04567256326862459,0.04547867079040748,0.8568619949703411,0.8324756622321937,xz,0.5
26,[0.1184661633495363],[0.09489001527067878],0.4161987398864828,0.19263087848716626,0.1929919688032077,0.16521319481726163,0.3697356440213377,0.37581112898571684,0.3663007728033532,0.3662482748629857,0.28911666311194234,0.3758091439353205,0.2824249409085777,0.2822099462192513,0.9980313187017958,0.9947232272503631,nginx,0.5
27,[0.10592677002962782],[0.12246287860026872],0.42686121531107674,0.44409357817419043,0.44409992806377646,0.42815236045920524,0.3358943338408525,0.5212423958818624,0.4336272400572909,0.43298460961084345,0.25872931879430594,0.5545502591179654,0.448382315306663,0.43890403632210784,0.33990612087816924,0.6779770014327725,x264,0.5
28,[0.0028656790500044484],[0.002729316138561598],0.039713434156918186,0.03326083031169489,0.03326193726488262,0.032830315202491855,0.03827125882933787,0.03293584799633828,0.038416733869233534,0.03838718874007713,0.03341604686239518,0.03443485287597599,0.03235519225537351,0.032629207568914194,0.9983044593218864,0.9745070647082896,sqlite,0.5
29,[0.027208709274160303],[0.036994073511574244],0.029617632633204712,0.171710631400272,1617271319.7613158,0.08689771041283682,0.07224160890084994,0.17194026450752833,0.07347624826375153,0.07446783373082662,0.028139916302346225,0.17247205280426292,0.07547781865185786,0.07497376815871781,0.34874234695545897,0.6810585028420866,curl,0.5
30,[0.06491968926654298],[0.04662024739768511],0.049863275490314315,0.04985100969774601,0.04985559061004253,0.05148284630817272,0.24987246726342566,0.05444647538517681,0.04958056299554127,0.04958089459097109,0.13888307328056132,0.05623696666909932,0.051324783987276246,0.05101950288218915,0.8568619949703411,0.8324756622321937,xz,0.4
31,[0.10568517792091921],[0.074173702633998],0.390391980287841,0.12778452686257333,0.1278361884331086,0.12802300022539867,0.3753179140716326,0.3583166377879203,0.3202057939348732,0.32023013051215,0.27654156140593666,0.35830731688259065,0.2370824968684405,0.2376757369739288,0.9980313187017958,0.9947232272503631,nginx,0.4
32,[0.1816541090640599],[0.17281355139894283],0.41961038829574554,0.5225938593818411,0.5225950808904697,0.5139574097378544,0.414255962469511,0.550280566267537,0.5086732193453376,0.5074768846488288,0.2433555490624597,0.6104187789538553,0.5303722014474301,0.5104011568312877,0.33990612087816924,0.6779770014327725,x264,0.4
33,[0.002144632783453551],[0.0015061832941665918],0.04021867618557738,0.030922890314899133,0.030922888768059476,0.03110459159477086,0.036112572710083155,0.034373325652457556,0.03537933187235712,0.03544292103480698,0.030933169678552717,0.03566817360594739,0.028857844473871096,0.029106191349528476,0.9983044593218864,0.9745070647082896,sqlite,0.4
34,[0.1298345178040693],[0.0634542970753719],0.03135505767727488,0.17519661508733697,262493726.57835686,0.0656276145706647,0.032839730125129155,0.18835867730910652,0.047976531590509346,0.04538675615954678,0.027993768316487287,0.18886894263704204,0.0468760270557364,0.04469282532635733,0.34874234695545897,0.6810585028420866,curl,0.4
35,[0.057294266346081764],[0.047977126643786075],0.043840453114266396,0.060357480883257854,0.06037442692012166,0.05639894489983999,0.25926222715660485,0.05906098821075138,0.0502949486867393,0.050328979575610354,0.13051010845507738,0.059982687917631054,0.05293394059716735,0.052850171819749485,0.8568619949703411,0.8324756622321937,xz,0.3
36,[0.09605305880872932],[0.06874989050549048],0.3879763422927132,0.12727888451415703,0.1272931149860275,0.134574363309152,0.47820390587354944,0.29321341221975383,0.28727816636603787,0.2870949248861437,0.3535921501856779,0.2932117189615325,0.2106513995532329,0.20941480078336683,0.9980313187017958,0.9947232272503631,nginx,0.3
37,[0.08303093584755042],[0.09776998670880678],0.319235266893206,0.36154919504594607,0.3615492520243443,0.3547368394026168,0.2018882904093519,0.4188766490853972,0.32623234182283317,0.3176112494069835,0.1850743812663467,0.49666856210451304,0.38801619470838683,0.35908771604021805,0.33990612087816924,0.6779770014327725,x264,0.3
38,[0.0019079928659257788],[0.0021784447529919226],0.0387097800497108,0.03527628373498671,0.035276228482976534,0.035393677811646346,0.0392686001502068,0.03500556693533541,0.039916787463415655,0.039454008055215775,0.03424140043909763,0.037102156186754505,0.034021518334783875,0.03376808490109082,0.9983044593218864,0.9745070647082896,sqlite,0.3
39,[0.16248631214317127],[0.07203356612608523],0.03646379159354669,0.23131337890821632,0.15158149235298632,0.0745345274987151,0.048048697565275,0.22229112560920364,0.052279982195526084,0.051725123465967505,0.029225979382149665,0.22276697309672322,0.0522554000087782,0.05140032680374682,0.34874234695545897,0.6810585028420866,curl,0.3
