--disable-option-checking,--disable-assembler,--disable-xzdec,--disable-lzmadec,--disable-lzmainfo,--disable-lzma-links,--disable-scripts,--disable-doc,--disable-silent-rules,--disable-dependency-tracking,--disable-libtool-lock,--disable-nls,--disable-rpath,--disable-largefile,--enable-debug,--enable-encoders=lzma1,"--enable-encoders=lzma1,lzma2","--enable-encoders=lzma1,delta","--enable-encoders=lzma1,x86","--enable-encoders=lzma1,powerpc","--enable-encoders=lzma1,ia64","--enable-encoders=lzma1,arm","--enable-encoders=lzma1,armthumb","--enable-encoders=lzma1,sparc",--enable-decoders=lzma1,"--enable-decoders=lzma1,lzma2","--enable-decoders=lzma1,delta","--enable-decoders=lzma1,x86","--enable-decoders=lzma1,powerpc","--enable-decoders=lzma1,ia64","--enable-decoders=lzma1,arm","--enable-decoders=lzma1,armthumb","--enable-decoders=lzma1,sparc",--enable-match-finders=hc3,--enable-match-finders=hc4,--enable-match-finders=bt2,--enable-match-finders=bt3,--enable-match-finders=bt4,--enable-checks=crc32,"--enable-checks=crc32,crc64","--enable-checks=crc32,sha256",--enable-small,--enable-threads=yes,--enable-threads=no,--enable-threads=posix,--enable-assume-ram=128,--enable-symbol-versions,--enable-sandbox=auto,--enable-sandbox=no,--enable-sandbox=capsicum,--enable-silent-rules,--enable-dependency-tracking,--enable-fast-install,--enable-fast-install=no,--enable-unaligned-access,--enable-unsafe-type-punning,--with-pic=PIC,--with-pic=non-PIC,--with-aix-soname=aix,--with-aix-soname=svr4,--with-aix-soname=both,--with-gnu-ld,--with-gnu-ld=no,--without-libiconv-prefix,--without-libintl-prefix,--with-libiconv-prefix,--with-libintl-prefix,--enable-shared=no,--enable-static,binary-size,unit,nr-of-gadgets
true,true,true,true,true,false,true,true,false,true,true,false,true,true,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,true,true,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,987408,bytes,7488
false,true,true,false,false,false,true,false,false,false,false,true,false,true,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,true,true,false,false,true,false,true,false,false,true,false,false,true,false,false,true,false,987408,bytes,7488
true,false,false,true,false,false,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,true,true,false,false,false,true,true,false,false,true,false,true,false,false,true,true,false,false,false,true,true,false,false,1076232,bytes,8120
false,false,true,false,false,true,true,false,true,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,true,false,false,false,true,false,true,true,false,false,true,true,false,true,false,false,true,false,false,false,true,false,false,false,1076232,bytes,8120
false,true,true,true,false,false,false,false,false,false,true,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,1078848,bytes,7694
false,true,true,true,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,true,false,false,true,true,true,false,true,false,true,false,true,false,true,false,true,false,false,false,false,true,true,true,1078848,bytes,7694
true,false,true,false,true,false,false,false,true,true,true,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,true,true,true,false,false,true,true,false,false,false,false,false,true,false,true,false,false,false,false,false,true,false,false,true,1082216,bytes,8057
false,true,false,false,false,true,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,true,false,true,true,false,false,true,false,false,false,true,false,false,true,false,false,false,true,true,true,true,1152768,bytes,8201
false,false,false,true,false,false,true,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,true,true,false,false,true,true,true,false,true,true,true,false,false,false,true,false,false,false,false,true,false,false,true,true,1152768,bytes,8201
false,true,true,false,false,true,false,true,true,true,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,true,true,false,false,true,false,false,false,false,true,false,false,true,false,true,false,false,false,true,false,1152768,bytes,8201
false,true,true,true,true,true,true,false,true,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,true,false,false,false,true,true,true,true,false,true,false,false,true,false,false,false,false,false,false,false,true,true,1083680,bytes,7768
true,true,true,true,false,true,true,false,false,true,false,true,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,true,true,false,true,false,true,true,false,false,true,false,false,true,false,true,true,false,false,false,false,1083680,bytes,7768
false,true,false,true,true,true,false,false,false,false,true,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,true,false,false,true,true,false,false,false,true,false,true,false,false,true,true,false,false,true,false,false,false,true,true,false,false,false,false,1135024,bytes,8151
true,false,false,true,false,false,true,true,true,true,true,false,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,true,false,false,true,false,false,true,true,true,false,true,true,false,true,false,false,true,false,true,false,false,true,true,true,1103232,bytes,7824
true,true,false,true,false,false,false,true,false,true,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,true,false,false,true,true,true,false,false,true,false,true,false,true,false,true,false,false,true,false,false,false,true,1047880,bytes,7842
false,false,false,false,true,true,false,true,false,false,true,true,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,true,false,false,true,false,false,false,true,false,true,true,1066536,bytes,7666
false,false,true,false,true,true,true,false,false,true,false,true,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,false,true,false,true,false,false,true,true,true,false,true,true,false,false,true,false,false,true,true,false,false,true,1082936,bytes,7913
true,true,false,false,false,false,true,false,true,false,true,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,false,true,false,false,true,false,true,true,false,true,false,true,true,false,false,false,false,true,false,false,true,false,true,1008416,bytes,7465
true,false,false,false,true,false,false,false,true,true,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,true,false,false,true,false,false,true,false,true,false,true,false,false,false,false,false,false,true,false,false,false,false,true,true,false,false,false,1086128,bytes,8207
true,true,false,false,false,false,true,false,true,true,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,true,false,false,true,false,false,false,false,false,false,true,false,true,false,false,false,true,false,false,false,true,true,false,false,false,1094288,bytes,7790
false,true,false,false,false,true,true,false,true,true,true,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,false,true,true,false,true,false,false,true,true,false,false,true,true,true,false,false,true,false,true,false,true,false,false,false,true,true,993912,bytes,7236
false,false,true,true,true,true,false,true,false,true,true,true,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,1194984,bytes,8507
false,false,true,false,true,true,true,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,true,true,false,false,true,false,false,true,true,false,false,false,false,true,false,false,true,true,false,false,true,false,false,true,false,1090024,bytes,7895
false,false,true,true,false,false,false,true,true,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,true,false,false,false,true,false,false,true,true,false,false,true,false,false,false,false,true,true,false,1135800,bytes,8401
false,true,true,true,true,false,true,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,true,false,true,false,false,true,true,false,true,true,true,false,false,false,false,false,false,false,false,true,true,true,false,1154136,bytes,8294
true,true,true,false,true,false,true,false,true,true,true,true,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,false,false,false,false,false,false,true,true,false,true,1091592,bytes,7923
true,true,true,false,true,false,true,false,true,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,false,false,true,false,false,true,true,false,true,false,true,false,true,false,false,true,false,false,false,true,true,true,true,1071176,bytes,7817
true,true,false,false,false,true,true,true,true,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,true,true,false,true,false,false,false,false,false,true,false,false,false,false,false,true,true,false,false,true,false,false,true,true,1073760,bytes,7736
true,false,false,false,false,false,true,true,true,true,true,true,true,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,true,false,true,false,false,true,true,false,true,false,1054528,bytes,8026
false,false,true,false,true,true,false,false,true,true,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,true,false,false,true,false,false,true,false,true,true,true,false,true,false,false,true,false,false,false,true,true,false,false,false,1089192,bytes,8145
false,true,false,false,true,true,true,true,true,false,true,true,false,true,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,true,false,false,true,false,false,false,true,false,true,false,true,true,false,false,false,false,false,true,true,false,false,true,1089192,bytes,8145
true,true,true,true,true,true,true,true,false,false,false,true,true,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,true,true,false,false,true,false,true,false,false,false,false,false,true,true,1057128,bytes,7906
false,true,false,false,false,false,true,true,false,true,true,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,true,false,false,true,false,false,false,true,false,1122160,bytes,8069
false,false,true,true,false,false,false,true,true,true,true,true,true,true,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,true,false,false,true,false,false,true,true,false,false,false,false,true,false,false,false,false,true,true,false,false,false,true,1122160,bytes,8069
true,false,true,false,true,true,false,true,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,true,false,false,true,true,false,true,false,false,true,true,true,true,false,false,true,false,false,true,true,false,true,false,false,true,true,false,1145208,bytes,7990
true,false,true,false,true,true,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,true,false,true,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,true,true,false,true,true,1158152,bytes,8544
true,true,false,false,true,true,false,false,true,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,true,false,true,false,true,true,false,true,false,true,true,false,false,true,false,false,false,false,true,true,false,false,false,1140320,bytes,8420
true,false,true,false,true,true,true,false,false,true,false,false,true,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,false,false,false,false,true,true,false,true,false,false,true,false,true,false,true,false,false,false,false,false,true,true,1096656,bytes,8246
true,false,false,false,true,true,true,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,false,true,false,false,false,false,true,false,true,true,false,false,false,true,false,true,false,true,false,false,true,false,false,1083312,bytes,7736
true,false,false,true,true,true,true,false,true,false,true,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,false,true,true,true,false,true,true,false,false,false,true,false,true,false,false,false,false,true,false,false,1079768,bytes,7734
false,true,true,false,true,false,true,true,true,false,true,false,true,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,false,false,false,false,false,false,false,true,false,true,false,false,true,false,false,false,false,true,false,false,true,false,false,false,false,true,1001008,bytes,7461
true,false,false,false,true,false,false,true,true,false,false,true,true,true,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,true,false,false,true,false,false,false,false,1001008,bytes,7461
false,false,true,true,true,true,false,false,true,true,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,true,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false,false,false,false,true,true,true,false,1144216,bytes,8060
false,false,false,false,true,false,true,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,true,true,false,false,false,false,true,true,true,false,false,true,false,true,false,true,false,false,false,true,true,false,true,1088104,bytes,7863
false,false,true,true,true,true,false,true,false,true,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,true,true,false,true,false,true,false,false,true,false,false,true,false,false,false,true,false,true,true,994136,bytes,7668
false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,true,true,true,false,false,true,true,false,true,true,false,true,false,false,false,true,false,false,false,false,false,false,true,false,1138088,bytes,8318
false,false,true,true,false,true,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,false,true,false,false,false,false,true,true,false,false,true,false,1138088,bytes,8318
false,true,false,true,true,false,true,true,false,true,false,true,true,true,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,true,false,false,true,true,false,false,false,false,true,true,false,false,false,true,true,false,true,true,false,false,true,true,1138088,bytes,8318
true,false,true,false,true,true,true,true,true,false,true,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,true,false,true,true,false,false,false,true,false,true,false,false,true,false,false,false,false,true,false,false,false,1214480,bytes,8779
true,true,true,false,false,true,true,true,true,false,true,true,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,false,true,true,true,false,true,true,true,false,true,false,false,true,false,false,false,false,false,false,false,true,1214480,bytes,8779
false,true,true,true,false,true,false,false,true,true,true,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,true,true,false,false,false,false,true,false,false,false,true,false,false,false,true,true,false,false,true,true,false,false,true,1045440,bytes,7700
false,false,true,true,true,true,true,true,false,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,true,true,false,false,false,false,true,false,false,true,true,true,true,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,991816,bytes,7310
false,true,true,true,true,false,false,true,true,false,false,true,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,false,false,false,true,false,false,true,true,true,true,false,false,false,false,true,false,false,true,true,false,true,true,false,false,false,false,991816,bytes,7310
true,true,false,false,false,true,true,false,true,false,true,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,true,true,true,false,true,false,false,false,true,false,true,false,true,false,false,false,true,true,true,true,991816,bytes,7310
false,true,false,true,true,false,true,true,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,false,false,false,true,false,false,false,true,false,true,true,false,false,false,false,false,false,false,false,true,false,false,true,false,1075688,bytes,7793
false,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,true,false,true,false,false,false,false,false,false,true,true,false,false,false,false,true,false,false,false,true,false,false,false,1138776,bytes,8341
false,true,false,true,false,true,true,true,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,false,false,true,true,true,false,false,true,true,true,true,true,false,true,false,true,false,true,false,false,false,true,false,false,false,false,true,1138776,bytes,8341
false,true,true,true,false,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,true,false,false,true,true,true,true,false,false,true,false,true,true,false,true,false,true,false,false,true,false,false,false,false,false,true,true,true,1011112,bytes,7507
false,true,true,true,false,true,true,false,false,true,true,true,false,true,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,true,false,true,false,false,true,true,false,true,true,true,false,true,false,false,true,false,false,false,false,false,true,false,false,1062552,bytes,8061
false,true,true,false,true,false,false,false,true,true,true,true,true,true,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,true,true,true,false,false,true,false,false,true,false,true,false,false,true,true,false,false,true,1062552,bytes,8061
false,true,true,false,true,false,true,false,true,false,true,true,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,true,true,false,false,false,false,false,false,true,true,true,false,false,false,false,false,false,false,true,true,false,false,false,false,1072840,bytes,7912
true,true,false,false,true,true,true,false,true,false,true,true,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,true,false,false,true,true,true,true,true,false,false,true,false,false,false,true,false,false,false,false,true,true,true,true,1072840,bytes,7912
false,true,true,false,true,true,true,true,false,true,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,true,true,true,true,false,false,true,true,false,false,true,true,true,false,true,false,false,false,false,false,true,true,false,false,true,1081808,bytes,7821
true,true,false,false,true,true,true,false,true,true,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,true,false,false,false,false,false,1013976,bytes,7638
true,false,true,false,false,true,true,true,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,true,false,false,true,true,false,false,true,true,true,true,false,false,true,false,true,false,false,false,false,false,true,false,false,false,false,true,1013976,bytes,7638
true,false,true,false,true,true,false,false,true,false,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,true,false,true,false,false,false,true,false,false,true,true,false,false,true,false,true,false,false,true,true,false,false,true,1075240,bytes,7694
false,true,false,true,true,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,true,false,false,true,true,false,false,true,false,false,false,false,false,false,false,true,false,false,true,true,false,false,false,true,false,false,false,1075240,bytes,7694
true,true,false,true,true,true,false,true,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,true,false,false,true,false,false,true,true,false,false,false,true,true,false,false,1165000,bytes,8480
true,true,false,false,false,false,false,false,true,true,false,true,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,true,false,false,true,true,false,false,false,true,true,false,false,false,true,false,true,false,false,true,false,false,false,false,true,true,false,1047224,bytes,7534
false,false,true,false,false,true,false,true,true,false,true,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,true,true,false,true,true,true,false,false,false,false,true,false,true,false,false,false,false,false,true,true,1047224,bytes,7534
false,false,false,true,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,true,false,false,false,true,true,false,true,false,false,true,false,true,false,true,false,false,false,false,true,true,true,1089656,bytes,8078
false,false,false,false,true,true,false,true,false,true,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,true,false,false,true,false,true,true,false,false,false,false,false,false,true,false,false,false,false,true,1218992,bytes,8678
