,--disable-option-checking,--disable-libtool-lock,--disable-largefile,--disable-threadsafe,--disable-tcl,--disable-readline,--disable-amalgamation,--disable-load-extension,--disable-math,--enable-shared=no,--enable-static,--enable-fast-install,--enable-releasemode,--enable-tempstore,--enable-editline,--enable-debug,--enable-all,--enable-memsys5,--enable-memsys3,--enable-fts3,--enable-fts4,--enable-fts5,--enable-json1,--enable-update-limit,--enable-geopoly,--enable-rtree,--enable-session,--enable-gcov,--with-pic,--with-gnu-ld,--with-tcl=/usr/lib64,binary-size,unit,nr-of-gadgets
63,False,False,False,True,True,True,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True,True,True,False,False,True,False,10125560,bytes,79510
64,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,True,True,True,False,True,False,True,False,True,True,False,False,3818232,bytes,62623
65,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,False,False,False,False,False,False,True,False,True,True,False,True,True,False,False,3408976,bytes,54912
66,True,False,True,True,False,True,False,True,True,False,True,False,True,True,True,False,True,False,True,True,False,True,False,False,False,False,True,False,True,True,False,10060904,bytes,78996
67,False,False,False,True,False,True,False,True,True,False,True,True,True,False,False,False,True,True,False,False,False,True,True,False,False,True,True,False,True,False,True,10073528,bytes,79141
68,True,True,False,False,True,True,True,False,True,False,False,True,True,True,False,True,True,True,False,False,True,False,True,True,True,False,False,True,False,False,False,4055064,bytes,66192
69,False,True,False,True,True,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,True,False,True,False,10092536,bytes,79054
70,True,True,True,False,True,False,True,True,True,False,False,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,False,False,True,4034688,bytes,65328
71,True,True,True,True,True,True,False,False,False,True,False,True,True,True,True,False,True,False,True,True,True,False,True,True,False,False,False,False,True,False,False,10138856,bytes,79570
72,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False,True,True,False,8817032,bytes,69361
73,True,False,False,False,False,True,False,True,True,True,False,False,False,True,True,False,True,False,False,True,True,False,False,False,True,True,True,True,True,True,False,10148952,bytes,79536
74,False,False,True,True,False,True,False,False,False,True,False,True,False,True,False,True,True,True,True,False,False,True,True,False,False,False,False,True,True,False,True,3999232,bytes,65452
75,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,False,True,False,True,True,True,False,True,False,True,True,False,False,False,False,True,10125552,bytes,79500
76,True,False,True,False,False,False,True,True,False,False,True,True,True,True,True,False,False,False,True,False,False,True,False,True,False,False,False,True,True,True,True,9666456,bytes,75908
77,True,True,True,True,False,True,False,True,False,False,False,True,False,True,False,False,True,True,False,True,True,True,True,True,False,False,False,True,False,False,True,10123768,bytes,79404
78,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,True,False,False,True,True,True,False,True,True,True,False,True,False,False,False,10138856,bytes,79570
79,True,False,True,False,True,False,False,True,True,False,True,True,False,False,True,True,True,True,True,True,True,False,True,False,False,True,False,True,True,True,True,4043392,bytes,65545
80,True,True,True,True,True,True,False,True,True,False,False,False,True,True,True,True,False,False,True,True,False,False,False,True,False,True,True,False,False,False,True,3491488,bytes,56414
81,True,True,False,True,True,False,True,True,True,True,True,True,False,True,True,False,True,False,False,False,True,False,True,False,True,False,True,True,False,True,True,10071792,bytes,79085
82,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,False,False,True,False,True,True,True,False,True,True,False,True,False,True,10191168,bytes,79575
83,True,False,True,True,True,True,False,False,False,True,True,False,False,True,False,True,False,True,True,True,True,True,False,False,False,True,False,True,True,True,False,3835656,bytes,64771
84,True,False,True,False,True,True,True,True,True,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,True,True,True,False,8927584,bytes,69867
85,True,True,False,True,False,True,True,False,False,True,True,False,False,True,True,False,True,True,False,True,True,False,False,True,True,False,True,True,True,True,True,10147416,bytes,79828
86,True,True,False,True,True,False,True,False,False,True,False,True,False,False,True,True,True,True,False,True,False,True,False,False,False,False,False,True,True,False,True,4000608,bytes,65509
87,False,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,3521992,bytes,56795
88,False,False,False,False,False,True,False,True,True,True,True,False,True,False,False,True,True,False,True,True,True,True,False,False,True,True,True,False,True,False,False,4033272,bytes,65274
89,True,True,True,True,True,True,False,True,False,False,True,False,True,True,False,True,True,False,False,False,True,True,False,True,False,True,False,False,False,True,True,3983376,bytes,65259
90,True,False,True,False,False,True,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,True,False,True,False,False,True,False,True,False,True,4060536,bytes,66402
91,True,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,False,True,True,True,True,False,False,True,False,True,False,True,False,3879168,bytes,62692
92,True,False,False,False,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,4051584,bytes,65502
93,False,True,False,True,False,True,False,False,False,False,False,True,True,False,True,True,True,False,False,True,True,False,True,True,False,True,True,False,False,False,False,3995488,bytes,65207
94,False,False,False,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,True,True,True,True,False,False,False,True,True,True,False,False,False,3939344,bytes,64928
95,True,False,False,True,False,False,True,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,True,10071792,bytes,79085
96,True,True,True,False,True,True,False,False,True,True,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,8547048,bytes,67480
97,True,False,True,True,False,True,True,False,True,True,False,True,False,True,True,True,True,True,False,False,True,True,False,True,False,False,False,False,False,True,False,3990520,bytes,65294
98,False,False,True,False,False,False,False,False,True,True,True,False,True,True,True,True,True,False,False,True,True,True,False,False,False,True,True,True,False,False,True,4042816,bytes,66066
99,False,True,True,True,True,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,True,True,True,True,9987952,bytes,78628
100,True,True,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,8497600,bytes,67180
101,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,10101096,bytes,79447
102,False,False,False,False,False,False,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,True,True,True,False,False,True,True,4051536,bytes,65635
103,False,True,True,False,True,False,False,True,False,False,False,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,False,False,False,False,10212096,bytes,79842
104,True,False,False,False,True,True,False,False,False,False,True,True,True,False,True,False,True,True,False,True,False,True,True,False,True,False,False,True,True,True,False,10224768,bytes,79981
105,False,False,False,False,True,True,True,False,True,True,False,False,False,False,True,False,True,True,True,False,False,True,True,False,True,True,False,False,False,False,False,10196032,bytes,81048
106,False,False,False,True,False,True,True,False,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False,False,True,True,True,False,False,10017376,bytes,78586
107,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,True,True,False,False,True,False,True,True,False,True,False,True,False,3490192,bytes,55751
