--disable-option-checking,--disable-libtool-lock,--disable-largefile,--disable-threadsafe,--disable-tcl,--disable-readline,--disable-amalgamation,--disable-load-extension,--disable-math,--enable-shared=no,--enable-static,--enable-fast-install,--enable-releasemode,--enable-tempstore,--enable-editline,--enable-debug,--enable-all,--enable-memsys5,--enable-memsys3,--enable-fts3,--enable-fts4,--enable-fts5,--enable-json1,--enable-update-limit,--enable-geopoly,--enable-rtree,--enable-session,--enable-gcov,--with-pic,--with-gnu-ld,--with-tcl=/usr/lib64,binary-size,unit,nr-of-gadgets
false,false,false,true,false,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,false,false,false,true,false,true,false,true,false,10073536,bytes,79129
false,true,true,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,false,false,false,false,true,true,false,true,false,true,false,true,3552200,bytes,57466
true,false,true,false,false,true,false,true,true,true,false,true,false,true,false,true,true,false,false,false,true,false,true,false,false,true,true,true,false,true,false,4033272,bytes,65274
true,true,false,true,true,false,false,true,false,true,false,false,false,true,true,false,false,true,false,true,true,false,false,true,false,true,true,false,false,false,false,8878384,bytes,69846
false,false,false,false,false,true,true,true,true,false,false,false,true,true,false,true,true,true,false,false,false,true,false,false,true,false,true,false,false,true,true,4041984,bytes,65655
false,false,true,true,false,true,false,true,true,false,false,false,true,true,false,false,true,false,false,false,true,false,true,false,true,false,true,true,false,true,true,10060896,bytes,79008
false,true,false,false,false,true,false,true,false,true,true,true,true,true,false,true,true,true,true,false,true,false,true,true,false,false,true,false,true,true,false,4052440,bytes,65683
true,true,true,false,false,true,false,false,true,true,false,false,false,true,false,false,true,true,true,false,false,false,true,false,true,true,true,false,true,false,true,10196032,bytes,81048
true,false,false,false,true,false,false,false,false,true,true,true,true,true,true,false,false,true,true,true,false,false,false,false,true,false,false,false,false,true,true,8696048,bytes,68588
true,true,false,false,true,true,false,true,true,false,true,true,false,false,true,false,false,true,true,false,false,true,true,true,true,false,true,false,false,true,false,10176848,bytes,79556
false,false,false,true,false,true,false,true,true,false,false,false,true,false,true,false,false,true,false,true,true,false,false,true,true,false,true,false,false,false,true,8963552,bytes,70586
false,true,false,false,true,true,true,false,false,false,true,false,true,false,true,true,false,false,false,false,false,false,false,true,true,true,false,true,false,false,false,3478224,bytes,55586
true,true,true,false,true,true,false,false,false,true,true,false,false,false,true,false,false,true,false,true,true,true,true,true,false,true,false,true,false,true,false,9705000,bytes,76283
true,false,false,false,false,true,true,false,true,false,false,false,false,true,true,true,false,true,false,false,false,true,false,true,true,false,false,true,false,true,true,3925472,bytes,63574
false,false,false,false,true,true,true,true,true,false,false,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,false,false,false,false,false,4034120,bytes,65509
true,true,true,true,false,false,true,false,false,true,true,false,true,true,true,true,false,false,true,false,true,false,false,false,false,true,true,false,true,false,false,3509712,bytes,56515
false,false,false,false,true,true,false,false,false,false,false,false,true,false,true,true,false,true,true,false,true,true,true,false,false,true,true,false,false,false,false,4025608,bytes,64907
false,true,true,true,false,false,true,false,false,false,false,true,true,false,false,true,true,true,false,false,false,false,false,true,false,true,true,false,false,true,true,4005560,bytes,65315
true,true,true,false,false,false,true,true,false,true,false,true,true,false,false,true,false,false,false,false,false,false,false,false,true,true,true,true,false,false,true,3600280,bytes,57817
true,true,false,false,true,false,false,false,false,false,false,true,false,true,true,false,true,false,false,true,true,true,false,false,true,false,false,true,true,true,true,10213272,bytes,80474
true,false,true,false,false,false,true,false,false,false,true,false,true,false,true,true,false,true,false,true,false,true,true,true,true,false,true,false,true,true,false,4061912,bytes,66114
false,true,true,true,false,false,true,false,true,false,false,true,true,false,false,true,false,false,true,false,true,false,true,true,false,true,false,false,true,true,false,3379568,bytes,56184
false,false,true,false,false,false,true,true,false,false,false,false,true,true,false,true,true,false,true,false,true,false,true,false,true,false,true,false,true,true,true,4040152,bytes,65423
false,true,false,false,true,false,false,false,false,true,true,true,false,true,false,false,false,true,false,true,false,true,false,true,false,false,false,true,false,false,false,9712528,bytes,76374
true,true,false,false,false,false,false,false,true,false,false,true,false,false,true,false,false,true,true,true,true,false,false,true,false,false,false,false,true,false,true,8564776,bytes,67632
false,false,false,true,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,false,false,true,false,true,false,true,true,false,false,true,true,3935600,bytes,64479
true,true,false,true,true,true,false,true,true,false,false,false,true,false,false,true,false,false,true,true,true,false,false,true,false,false,true,false,false,false,false,3491488,bytes,56414
true,false,false,true,true,false,false,false,false,false,false,false,true,true,true,false,false,true,true,false,true,true,false,true,false,false,false,true,true,true,false,9661576,bytes,76206
false,false,false,true,false,false,false,true,false,true,false,true,false,false,true,false,false,true,true,false,true,false,true,false,true,false,false,false,true,false,false,8611888,bytes,67993
true,false,true,false,false,false,false,false,false,true,true,false,false,false,true,false,false,true,false,true,false,true,false,false,true,false,true,true,false,true,false,10227232,bytes,80025
